[2025-09-14 15:02:00] Signal: presence | Source: ambient silence
[2025-09-14 15:03:37] Signal: presence | Source: ambient silence
[2025-09-14 15:05:21] Signal: presence | Source: ambient silence
[2025-09-14 15:09:45] Signal: presence | Source: ambient silence
[2025-09-14 15:09:57] Signal: presence | Source: ambient silence
[2025-09-14 15:14:45] Signal: presence | Source: ambient silence
[2025-09-14 15:14:57] Signal: presence | Source: ambient silence
[2025-09-14 15:19:45] Signal: presence | Source: ambient silence
[2025-09-14 15:19:57] Signal: presence | Source: ambient silence
[2025-09-14 15:24:45] Signal: presence | Source: ambient silence
[2025-09-14 15:24:57] Signal: presence | Source: ambient silence
[2025-09-14 15:29:45] Signal: presence | Source: ambient silence
[2025-09-14 15:29:57] Signal: presence | Source: ambient silence
[2025-09-14 15:34:45] Signal: presence | Source: ambient silence
[2025-09-14 15:34:57] Signal: presence | Source: ambient silence
[2025-09-14 15:39:45] Signal: presence | Source: ambient silence
[2025-09-14 15:39:57] Signal: presence | Source: ambient silence
[2025-09-14 15:44:45] Signal: presence | Source: ambient silence
[2025-09-14 15:44:57] Signal: presence | Source: ambient silence
[2025-09-14 15:49:45] Signal: presence | Source: ambient silence
[2025-09-14 15:49:57] Signal: presence | Source: ambient silence
[2025-09-14 15:54:45] Signal: presence | Source: ambient silence
[2025-09-14 15:54:57] Signal: presence | Source: ambient silence
[2025-09-14 15:59:45] Signal: presence | Source: ambient silence
[2025-09-14 15:59:57] Signal: presence | Source: ambient silence
[2025-09-14 16:04:45] Signal: presence | Source: ambient silence
[2025-09-14 16:04:57] Signal: presence | Source: ambient silence
[2025-09-14 16:09:45] Signal: presence | Source: ambient silence
[2025-09-14 16:09:57] Signal: presence | Source: ambient silence
[2025-09-14 16:20:44] Signal: presence | Source: ambient silence
[2025-09-14 16:20:56] Signal: presence | Source: ambient silence
[2025-09-14 16:25:44] Signal: presence | Source: ambient silence
[2025-09-14 16:25:56] Signal: presence | Source: ambient silence
[2025-09-14 16:30:44] Signal: presence | Source: ambient silence
[2025-09-14 16:30:56] Signal: presence | Source: ambient silence
[2025-09-14 16:35:44] Signal: presence | Source: ambient silence
[2025-09-14 16:35:56] Signal: presence | Source: ambient silence
[2025-09-14 16:40:44] Signal: presence | Source: ambient silence
[2025-09-14 16:40:56] Signal: presence | Source: ambient silence
[2025-09-14 16:45:44] Signal: presence | Source: ambient silence
[2025-09-14 16:45:56] Signal: presence | Source: ambient silence
[2025-09-14 16:50:44] Signal: presence | Source: ambient silence
[2025-09-14 16:50:56] Signal: presence | Source: ambient silence
